run_id,case_name,cargo_count,total_mass_kg,secured_frac,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,SpeedKmh,AccX,AccY,AccZ,LongAcc,LatAcc,VertAcc,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AngVelX,AngVelY,AngVelZ,AngAccX,AngAccY,AngAccZ,SteerAngle,TargetSteer,Throttle,Brake,FL_Grounded,FR_Grounded,RL_Grounded,RR_Grounded,FL_ForwardSlip,FR_ForwardSlip,RL_ForwardSlip,RR_ForwardSlip,FL_SideSlip,FR_SideSlip,RL_SideSlip,RR_SideSlip,MaxForwardSlip,MaxSideSlip,RolloverRisk,IsRollover
20260703_214628,case01_boxes_2layer,6,213.5,1.000,27.600,432.177,-1.419,755.149,-10.719,0.000,0.291,38.602,-107.271,0.839,2.823,107.306,-0.467,0.877,0.036,0.020,-88.243,2.929,0.323,17.381,0.000,-0.008,0.000,0.077,-0.079,-0.067,-0.864,-0.029,0.247,0.000,1,1,1,1,-0.002,-0.006,0.030,-0.237,0.004,0.004,0.001,0.001,0.237,0.004,0.000,0
20260703_214628,case01_boxes_2layer,6,213.5,1.000,44.516,260.511,-1.415,719.557,-7.490,0.000,-7.357,37.795,32.290,-0.001,-76.482,28.427,-77.999,0.499,0.360,0.020,-132.913,3.240,-0.001,-446.705,0.000,-0.083,0.000,0.000,-0.749,0.006,-7.059,-0.235,0.266,0.000,1,1,1,1,0.002,0.005,0.042,0.279,0.019,0.022,0.011,0.010,0.279,0.022,0.350,0
20260703_214628,case01_boxes_2layer,6,213.5,1.000,54.462,213.908,-1.416,627.412,-1.929,0.000,-10.386,38.028,55.605,0.002,-30.289,18.458,-60.569,0.260,0.238,0.020,-168.371,-1.223,-0.003,-354.577,0.000,-0.056,0.000,0.003,0.268,-0.005,-4.810,-0.161,0.253,0.000,1,1,1,1,-0.002,-0.005,0.030,-0.234,0.013,0.015,0.007,0.007,0.234,0.015,0.350,0
20260703_214628,case01_boxes_2layer,6,213.5,1.000,60.333,214.292,-1.415,565.867,2.396,0.000,-10.255,37.911,43.249,0.002,1.309,7.260,-42.655,0.290,0.384,0.019,168.606,1.461,-0.014,-230.229,0.000,-0.089,-0.001,-0.004,-0.335,-0.004,-7.866,-0.262,0.258,0.000,1,1,1,1,0.002,0.005,0.041,0.276,0.024,0.028,0.011,0.010,0.276,0.028,0.350,0
20260703_214628,case01_boxes_2layer,6,213.5,1.000,63.817,228.917,-1.413,532.826,6.082,0.000,-8.418,37.387,36.860,-0.002,18.366,4.837,-40.896,0.386,0.542,0.017,146.770,1.582,-0.017,-218.369,0.000,-0.130,-0.001,0.003,-0.409,0.000,-11.503,-0.382,0.267,0.000,1,1,1,1,0.002,0.005,0.042,0.275,0.031,0.039,0.015,0.014,0.275,0.039,0.350,0
20260703_214628,case01_boxes_2layer,6,213.5,1.000,66.097,245.613,-1.412,516.509,8.440,-0.001,-5.856,36.981,23.583,-0.015,25.624,2.964,-34.696,0.367,0.630,0.018,127.741,0.876,0.006,-190.282,-0.001,-0.147,0.001,-0.013,-0.168,0.012,-12.692,-0.420,0.287,0.000,1,1,1,1,0.002,0.004,0.045,0.278,0.027,0.039,0.018,0.017,0.278,0.039,0.350,0
20260703_214628,case01_boxes_2layer,6,213.5,1.000,67.527,258.515,-1.411,509.732,9.506,-0.001,-3.771,36.815,10.659,0.006,20.850,1.025,-23.393,0.282,0.675,0.021,114.569,0.454,0.034,-131.723,-0.002,-0.147,0.001,-0.005,-0.002,0.003,-12.140,-0.401,0.301,0.000,1,1,1,1,-0.003,-0.004,0.032,-0.220,0.018,0.030,0.020,0.019,0.220,0.030,0.350,0
20260703_214628,case01_boxes_2layer,6,213.5,1.000,68.488,267.893,-1.414,506.614,9.920,-0.005,-2.825,37.133,4.144,-0.045,9.455,1.053,-10.270,0.029,0.407,0.020,107.815,-2.684,-0.009,-67.543,-0.006,-0.098,0.002,-0.041,0.494,0.013,-7.753,-0.257,0.294,0.000,1,1,1,1,-0.003,-0.006,0.033,-0.232,0.009,0.014,0.013,0.013,0.232,0.014,0.350,0
20260703_214628,case01_boxes_2layer,6,213.5,1.000,69.211,275.151,-1.417,504.763,10.152,-0.002,-2.347,37.512,2.321,0.029,4.785,1.059,-5.212,0.048,0.200,0.022,104.390,-2.064,0.014,-34.245,-0.003,-0.070,0.000,0.029,0.275,-0.017,-6.083,-0.202,0.292,0.000,1,1,1,1,0.002,0.006,0.046,0.292,0.017,0.020,0.009,0.009,0.292,0.020,0.155,0
20260703_214628,case01_boxes_2layer,6,213.5,1.000,69.812,281.279,-1.417,503.467,10.272,0.000,-2.013,37.683,1.198,0.028,3.337,0.467,-3.515,0.038,0.162,0.022,102.182,-0.382,0.005,-22.082,0.000,-0.058,0.000,0.031,0.129,-0.008,-4.767,-0.159,0.287,0.000,1,1,1,1,0.002,0.006,0.045,0.291,0.011,0.013,0.007,0.007,0.291,0.013,0.036,0
