run_id,source_layout,cargo_count,total_mass_kg,secured_frac,init_cog_x,init_cog_z,init_cog_height,target_speed_kmh,duration_s,max_roll_deg,max_pitch_deg,max_lat_accel_g,max_abs_ltr,max_cargo_shift_m,cargo_fell_count,rollover,risk_grade
20260703_001521,case01_center_all_secured.json,3,230.0,1.00,-0.391,0.000,0.985,45,15.0,93.48,1.95,33.286,1.000,0.001,0,1,3
20260703_001521,case01_center_all_secured.json,3,230.0,1.00,-0.391,0.000,0.985,45,15.0,93.48,1.95,33.286,1.000,0.001,0,1,3
20260703_001811,case01_center_all_secured.json,3,230.0,1.00,-0.391,0.000,0.985,45,20.2,101.66,1.97,17.719,1.000,0.002,0,1,3
20260703_001811,case01_center_all_secured.json,3,230.0,1.00,-0.391,0.000,0.985,45,20.2,101.66,1.97,17.719,1.000,0.002,0,1,3
20260703_002312,case02_center_all_free.json,3,230.0,0.00,-0.391,0.000,0.985,45,300.0,15.10,5.95,0.619,1.000,1425.153,1,0,2
20260703_002312,case02_center_all_free.json,3,230.0,0.00,-0.391,0.000,0.985,45,300.0,15.10,5.95,0.619,1.000,1425.153,1,0,2
20260703_003532,case01_center_all_secured.json,3,2.3,1.00,-0.391,0.000,0.985,45,19.6,101.64,1.94,26.120,1.000,0.002,0,1,3
20260703_003532,case01_center_all_secured.json,3,2.3,1.00,-0.391,0.000,0.985,45,19.6,101.64,1.94,26.120,1.000,0.002,0,1,3
20260703_005008,case01_baseline_boxes.json,3,6.9,0.00,-2.307,-1.074,0.965,45,300.0,1.49,5.94,0.499,0.576,5.398,0,0,1
20260703_005008,case01_baseline_boxes.json,3,6.9,0.00,-2.307,-1.074,0.965,45,300.0,1.49,5.94,0.499,0.576,5.398,0,0,1
20260703_151741,case01_baseline_boxes.json,1,100.0,1.00,0.000,0.000,0.600,45,300.0,10.23,1.52,613.302,0.333,0.002,0,0,1
20260703_152241,case02_center_all_free.json,3,230.0,0.00,-0.391,0.000,0.985,45,300.0,2.08,5.96,1.136,1.000,1425.058,2,0,2
20260703_152442,case03_left_heavy_pipes.json,3,315.6,0.34,-4.836,0.000,0.805,45,120.6,61.44,5.32,102.550,1.000,2.106,0,1,3
20260703_152442,case03_left_heavy_pipes.json,3,315.6,0.34,-4.836,0.000,0.805,45,120.6,61.44,5.32,102.550,1.000,2.106,0,1,3
20260703_152943,case04_right_heavy_free.json,3,230.0,0.00,7.604,0.639,1.115,45,300.0,2.97,11.52,1.964,1.000,1559.451,2,0,2
20260703_162943,case01_baseline_boxes.json,1,100.0,1.00,0.000,0.000,0.600,45,300.0,1.84,5.95,0.933,1.000,0.002,0,0,2
20260703_163532,case01_baseline_boxes.json,1,100.0,1.00,0.000,0.000,0.600,45,300.0,1.84,5.95,0.933,1.000,0.002,0,0,2
20260703_165422,case01_baseline_boxes.json,1,100.0,1.00,0.000,0.000,0.600,45,493.6,4.65,11.87,0.933,1.000,0.002,0,0,2
