<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
id,count
SYN-01,2
B-006,1
SYN-04,2
B-002,2
SYN-03,1
=======
id,count
SYN-01,2
B-006,1
SYN-04,2
B-002,2
SYN-03,1
>>>>>>> 1993feac092b18899a51c504bdad531d03d0662b
=======
id,count
SYN-01,2
B-006,1
SYN-04,2
B-002,2
SYN-03,1
>>>>>>> 1993feac092b18899a51c504bdad531d03d0662b
=======
id,count
SYN-01,2
B-006,1
SYN-04,2
B-002,2
SYN-03,1
>>>>>>> 1993feac092b18899a51c504bdad531d03d0662b
=======
id,count
SYN-01,2
B-006,1
SYN-04,2
B-002,2
SYN-03,1
>>>>>>> 1993feac092b18899a51c504bdad531d03d0662b
=======
id,count
SYN-01,2
B-006,1
SYN-04,2
B-002,2
SYN-03,1
>>>>>>> 1993feac092b18899a51c504bdad531d03d0662b
