episodeIndex,reason,totalReward,validPlacements,invalidPlacements,stepCount,stepScale,wLE,wCGS,wSS,supportRatioMin
1,completed,1.263359,4,2,4,0.182742,0.742738,0.290437,0.137391,0.801201
2,completed,0.861449,3,8,3,0.182742,0.742738,0.290437,0.137391,0.801201
3,completed,0.691674,4,17,4,0.182742,0.742738,0.290437,0.137391,0.801201
4,failed,-1.552256,2,27,2,0.182742,0.742738,0.290437,0.137391,0.801201
5,completed,0.500919,3,16,3,0.182742,0.742738,0.290437,0.137391,0.801201
6,completed,0.990017,4,8,4,0.182742,0.742738,0.290437,0.137391,0.801201
7,failed,-1.772747,3,34,3,0.182742,0.742738,0.290437,0.137391,0.801201
8,completed,1.210613,4,3,4,0.182742,0.742738,0.290437,0.137391,0.801201
9,failed,-1.781242,2,32,2,0.182742,0.742738,0.290437,0.137391,0.801201
10,failed,-1.345740,4,28,4,0.182742,0.742738,0.290437,0.137391,0.801201
11,failed,-1.227962,3,22,3,0.182742,0.742738,0.290437,0.137391,0.801201
12,failed,-1.353418,3,26,3,0.182742,0.742738,0.290437,0.137391,0.801201
13,failed,-1.264610,2,21,2,0.182742,0.742738,0.290437,0.137391,0.801201
14,failed,-1.580862,4,33,4,0.182742,0.742738,0.290437,0.137391,0.801201
15,completed,1.256385,3,1,3,0.182742,0.742738,0.290437,0.137391,0.801201
16,completed,0.875280,3,8,3,0.182742,0.742738,0.290437,0.137391,0.801201
17,completed,-0.071852,5,33,5,0.182742,0.742738,0.290437,0.137391,0.801201
18,failed,-1.398285,2,24,2,0.182742,0.742738,0.290437,0.137391,0.801201
19,completed,0.945655,3,5,3,0.182742,0.742738,0.290437,0.137391,0.801201
20,completed,0.938090,4,9,4,0.182742,0.742738,0.290437,0.137391,0.801201
21,failed,-1.345407,4,28,4,0.182742,0.742738,0.290437,0.137391,0.801201
22,completed,0.395863,5,24,5,0.182742,0.742738,0.290437,0.137391,0.801201
23,completed,1.102430,4,4,4,0.182742,0.742738,0.290437,0.137391,0.801201
24,failed,-1.503296,2,26,2,0.182742,0.742738,0.290437,0.137391,0.801201
25,completed,0.437252,4,18,4,0.182742,0.742738,0.290437,0.137391,0.801201
26,failed,-1.181453,4,25,4,0.182742,0.742738,0.290437,0.137391,0.801201
27,completed,1.071372,3,6,3,0.182742,0.742738,0.290437,0.137391,0.801201
28,failed,-1.195377,2,20,2,0.182742,0.742738,0.290437,0.137391,0.801201
